show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,platform
s10,movie,a muppets christmas: letters to santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,2021-11-19,2008,G,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,2021.0,11.0,Disney
s335,movie,into the woods,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman",United States,2020-12-18,2014,PG,126 min,"Action-Adventure, Fantasy, Musical",A baker and his wife's desperation to have a child sends them on a quest to reverse a witch’s curse.,2020.0,12.0,Disney
s623,movie,"my dog, the thief",Robert Stevenson,"Dwayne Hickman, Mary Mobley, Elsa Lanchester, Joe Flynn, Roger Carmel, Mickey Shaughnessy",United States,2020-02-14,1969,TV-PG,89 min,"Action-Adventure, Comedy, Family",A St. Bernard lifts a million-dollar necklace from a team of jewel thieves.,2020.0,2.0,Disney
s703,movie,the wonderful world of disney presents the little mermaid live!,Hamish Hamilton,"Auli'i Cravalho, Queen Latifah, Shaggy , John Stamos, Graham Phillips, Amber Riley",United States,2019-11-27,2019,TV-PG,84 min,"Concert Film, Family, Fantasy",Live musical performances by a star-studded cast are interwoven into the original feature film.,2019.0,11.0,Disney
s996,movie,kronk's new groove,"Elliot Bour, Saul Blinkoff","Patrick Warburton, Tracey Ullman, Eartha Kitt, David Spade, John Goodman, Wendie Malick",United States,2019-11-12,2005,G,78 min,"Animation, Comedy, Coming of Age",Kronk cooks up a get-rich-quick scheme to impress his Dad.,2019.0,11.0,Disney
s1263,movie,the castaway cowboy,Vincent McEveety,"James Garner, Vera Miles, Robert Culp, Eric Shea, Elizabeth Smith, Manu Tupou",United States,2019-11-12,1974,G,91 min,"Action-Adventure, Family, Western",A Texan castaway helps defend a Hawaiian family's land.,2019.0,11.0,Disney
s1337,movie,the shaggy dog,Charles Barton,"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello, Tim Considine, Kevin Corcoran",United States,2019-11-12,1959,G,102 min,"Comedy, Family, Fantasy",A magical ring transforms a teenager into a lumbering sheepdog.,2019.0,11.0,Disney
s540,movie,homeward bound: the incredible journey,Duwayne Dunham,"Robert Hays, Kim Greist, Jean Smart, Veronica Lauren, Kevin Chevalia, Benj Thall",United States,2020-05-01,1993,G,85 min,"Action-Adventure, Animals & Nature, Family",Two dogs and a cat embark on a great American journey to find their owners.,2020.0,5.0,Disney
s812,movie,descendants 2,Kenny Ortega,"Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart, Mitchell Hope, Brenna D'Amico",United States,2019-11-12,2017,TV-G,114 min,"Coming of Age, Fantasy, Musical","Mal returns to the Isle of the Lost and confronts Uma, Ursula's daughter.",2019.0,11.0,Disney
s1430,movie,bedknobs and broomsticks,Robert Stevenson,"Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe, John Ericson, Bruce Forsyth",United States,2019-10-01,1971,G,118 min,"Comedy, Family, Fantasy",Three children and an amateur witch team up to save England from invasion.,2019.0,10.0,Disney
s50,movie,the search for santa paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,2021-11-05,2010,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,2021.0,11.0,Disney
s263,movie,night at the museum,Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs, Jake Cherry","United States, United Kingdom",2021-04-02,2006,PG,109 min,"Action-Adventure, Comedy, Family",A new guard at the Natural History Museum finds that when visitors leave the exhibits come to life.,2021.0,4.0,Disney
s441,movie,howard,Don Hahn,Howard Ashman,United States,2020-08-07,2020,TV-PG,95 min,"Biographical, Documentary, Music","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",2020.0,8.0,Disney
s467,movie,a pre-opening report from disneyland,Wilfred Jackson,"Walt Disney, Winston Hibler",United States,2020-07-17,1955,TV-PG,55 min,"Documentary, Family, Historical",Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,2020.0,7.0,Disney
s1164,movie,return to oz,Walter Murch,"Nicol Williamson, Jean Marsh, Piper Laurie, Matt Clark, Fairuza Balk, Michael Sundin","United Kingdom, United States",2019-11-12,1985,PG,110 min,"Action-Adventure, Family, Fantasy",Dorothy battles the wicked Princess Mombi and the evil Nome King to restore the Emerald City.,2019.0,11.0,Disney
s351,movie,the nutcracker and the four realms,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",United States,2020-12-04,2018,PG,101 min,"Action-Adventure, Family, Fantasy",From Disney comes the reimagined tale of The Nutcracker.,2020.0,12.0,Disney
s1227,movie,super buddies,Robert Vince,"Jeremy Shinder, Tenzing Trainor, Ty Panitz, G. Hannelius, Cooper Roth, Colin Hanks",United States,2019-11-12,2013,G,83 min,"Action-Adventure, Comedy, Family",A new breed of hero is born when Disney's favorite extraordinary pups become Super Buddies!,2019.0,11.0,Disney
s1420,movie,yellowstone cubs,Charles Draper,Rex Allen,United States,2019-11-12,1963,TV-PG,48 min,"Animals & Nature, Comedy, Family",Two bear cubs take a mischievous tour of Yellowstone National Park. See details for advisory.,2019.0,11.0,Disney
s1282,movie,the good dinosaur,Peter Sohn,"Jeffrey Wright, Frances McDormand, Maleah Padilla, Ryan Teeple, Jack McGraw, Marcus Scribner",United States,2019-11-12,2015,PG,94 min,"Action-Adventure, Animation, Buddy",A dinosaur named Arlo makes an unlikely friend during his journey home.,2019.0,11.0,Disney
s474,movie,x-men: apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne",United States,2020-07-17,2016,PG-13,144 min,"Action-Adventure, Family, Science Fiction","Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",2020.0,7.0,Disney
